synpic42072|avascular necrosis of the femoral head
synpic37231|pulmonary embolism
synpic51484|rickets
synpic15699|carotid artery dissection
synpic33852|bucket handle meniscal tear of the knee
synpic2923|azygous lobe
synpic29235|appendicitis
synpic100585|pulmonary arteriovenous malformation
synpic35354|occult stress fracture
synpic46824|lung adenocarcinoma and cns metastasis
synpic42797|spinal cord astrocytoma
synpic51298|acute mesenteric ischemia
synpic25210|stage i pulmonary sarcoidosis
synpic22728|chance-type fracture
synpic24665|pneumocystis jiroveci (p. carinii) pneumonia
synpic46204|acute appendicitis
synpic24999|pneumonia
synpic100453|right c6 radiculopathy and ankylosing spondylitis
synpic53559|meningioma
synpic33445|infiltrating ductal carcinoma
synpic33985|ankylosing spondylitis
synpic42967|supracondylar fracture
synpic22524|occult stress fracture
synpic22948|ovarian torsion
synpic25238|double aortic arch
synpic52862|quadriceps tendon rupture
synpic18262|intraosseous lipoma
synpic50609|multiple hereditary exostosis
synpic37098|osteochondroma
synpic27718|adrenal myelolipoma
synpic26209|ovarian torsion
synpic56090|double aortic arch
synpic39790|osteomyelitis
synpic38678|tibial plateau fracture
synpic37066|achalasia
synpic52157|diverticulitis
synpic55299|tethered spinal cord with terminal spinal lipoma
synpic43969|pulmonary embolus
synpic59782|hypertrophic pyloric stenosis
synpic51655|intramedullary (intradural-intramedullary), spinal lesions
synpic43621|crossed fused ectopia
synpic23810|nodular sclerosing hodgkin’s lymphoma
synpic43898|varicocele
synpic22228|parsonage-turner syndrome
synpic50369|pleomorphic  xanthoastrocytoma, pxa
synpic27204|hypertrophic pyloric stenosis
synpic21178|intramedullary lipoma of the spinal cord
synpic42258|basic chest imaging review, search pattern, required structures
synpic21536|horseshoe kidney
synpic47785|anterior mediastinal mass differential diagnosis
synpic29229|diffuse rhabdomyosarcoma
synpic41496|autosomal recessive polycystic kidney disease
synpic27108|azygous lobe
synpic35317|azygous lobe
synpic22767|hodgkin's lymphoma
synpic34395|angiomyolipoma
synpic54304|schwannoma
synpic53075|spinal cord abscess
synpic31891|acute pyelonephritis
synpic100580|motor vehicle accidents and instrument failure
synpic32871|tension pneumothorax
synpic58069|colon cancer
synpic32933|aspergillosis and the air-crescent sign
synpic16913|horseshoe kidney
synpic39915|pulmonary embolism
synpic24947|sickle cell anemia
synpic46231|talocalcaneal coalition
synpic49488|dural  fistula, avf
synpic55756|breast implant,  rupture, extracapsular silicone
synpic41994|quadriceps tendon rupture
synpic59282|incidental hepatic artery aneurysm
synpic30983|angiomyolipoma
synpic16203|diverticulitis
synpic36989|hemiazygous and azygous continuation of the inferior vena cava
synpic24245|chloroma
synpic25125|diverticulitis
synpic55762|enlarged subarachnoid space
synpic36992|pulmonary arteriovenous malformation
synpic32759|fractures of the base of the fifth metatarsal
synpic56770|dural  fistula, avf
synpic17563|inguinal hernia involving bladder
synpic55774|enlarged subarachnoid space
synpic55382|empyema
synpic41672|atelectasis
synpic51200|cord infarct with secondary atrophy
synpic29726|pulmonary arteriovenous malformation
synpic52935|transitional cell carcinoma, bladder
synpic22578|achalasia
synpic27104|pneumonia
synpic20327|thymic cyst - benign mediastinal cysts
synpic42991|zenker's diverticulum
synpic31920|crohn's disease
synpic46592|breast implant,  rupture, extracapsular silicone
synpic27984|biliary leak, status post laparoscopic cholecystectomy
synpic60667|fibromatosis coli
synpic49843|metastatic disease from colonic carcinoma
synpic53568|iatrogenic pneumoperitoneum
synpic59335|aortic dissection, aortic tear
synpic22798|hiatal hernia
synpic15810|round atelectasis
synpic100584|achalasia
synpic39647|bronchogenic carcinoma
synpic16028|dural  fistula, avf
synpic20002|supracondylar fracture
synpic53139|epiploic appendagitis
synpic42247|sarcoidosis
synpic52861|hemophilia
synpic24351|nodular sclerosing hodgkin’s lymphoma
synpic29754|adrenal myelolipoma
synpic17013|choledocholithiasis
synpic59273|incidental hepatic artery aneurysm
synpic16388|hereditary hemorrhagic telangiectasia (hht) and pulmonary arteriovenous malformation (avm)- osler-weber-rendu
synpic23762|varicocele
synpic29681|autosomal recessive polycystic kidney disease
synpic18567|hiatal hernia
synpic26527|left aortic arch with aberrant right subclavian artery
synpic27494|angiomyolipoma
synpic39432|partial anomalous pulmonary venous return
synpic17129|hypertrophic pyloric stenosis
synpic47180|aberrant right subclavian artery (arsa)
synpic37257|classic bosniak class iii complex renal cyst
synpic31909|c-spine fracture
synpic16218|testicular microlithiasis
synpic33268|aberrant right subclavian artery (arsa)
synpic52072|aortic coarctation
synpic42585|osteochondroma
synpic40872|synovial cyst
synpic56637|neuroblastoma
synpic60060|zenker's diverticulum
synpic28145|angiomyolipoma
synpic40535|adenomyomatosis
synpic30899|adenomyomatosis
synpic38166|pulmonary embolism
synpic27010|crohn disease
synpic34148|pulmonary embolism
synpic48161|osteomyelitis
synpic47935|mature cystic teratoma
synpic35742|leptomeningeal sarcoid
synpic59714|lymphangioma
synpic20119|lipomatous hypertrophy of the interatrial septum
synpic21759|pleomorphic  xanthoastrocytoma, pxa
synpic32329|rickets
synpic40875|schwannoma
